resume_text,jd_text,years_exp,semantic_similarity,numeric_score,detailed_ai_suggestion,,,,,,
"Project Coordinator with 2 years' experience in scheduling, resource allocation, and maintaining project documentation.","Project Manager with 10 years' experience in IT project delivery, leading cross-functional teams, and managing budgets. PMP certified.",2,0.7,70,"Moderate fit (Score: 70%, Similarity: 0.70). Candidate has foundational project coordination skills but is significantly junior and lacks project management leadership experience. Key gaps include budget management and team leadership. Recommendation: Decline for this senior role, but consider for a junior project role if available.",,,,,,
"Software Engineer (Embedded) with 5 years' experience in firmware development, C, and ARM microcontrollers. Debugging and hardware interaction.","Senior Software Engineer (Backend) with 7+ years in Java, Spring Boot, microservices, and Kafka. AWS expertise a plus.",5,0.67,67,"Low fit (Score: 67%, Similarity: 0.67). Candidate is a specialized embedded software engineer, which is distinct from backend web development. Key gaps include Java, Spring Boot, microservices, and high-level distributed systems. Recommendation: Decline due to fundamental technical domain mismatch.",,,,,,
"Data Engineer with 3 years' experience in ETL development using Talend, SQL, and data warehousing concepts.","ETL developer with 4 years of experience using SSIS, Informatica, and SQL for large-scale data warehouse pipelines.",3,0.9,90,"Strong fit (Score: 90%, Similarity: 0.90). Candidate has strong ETL experience and SQL, meeting most requirements. Talend experience is transferable to SSIS/Informatica. Recommendation: Proceed to final interview; focus on transferable skills and experience with large-scale data warehouses.",,,,,,
"Graphic Designer with 3 years' experience in brand identity, marketing collateral, and digital illustration using Photoshop and Illustrator.","Graphic designer with 5 years’ experience in Adobe Creative Suite, branding, and visual storytelling for marketing teams.",3,0.95,95,"Strong fit (Score: 95%, Similarity: 0.95). Candidate is an excellent match in skills and experience, slightly junior for 5 years but highly relevant. Recommendation: Expedite to final interview; assess portfolio and creative problem-solving.",,,,,,
"Python Developer with 4 years' experience in data analysis, scripting, and automation. Familiar with Pandas and NumPy.","Looking for a backend Python developer with 3+ years’ experience. Must have Flask or Django, PostgreSQL, and API experience.",4,0.85,85,"Strong fit (Score: 85%, Similarity: 0.85). Candidate has strong Python experience and meets experience requirement, but Flask/Django, PostgreSQL, and explicit API development need to be confirmed. Recommendation: Schedule an interview to evaluate web development specific Python skills.",,,,,,
"IT Auditor with 6 years' experience in SOX compliance, risk management, and cybersecurity audits. CISA certified.","Cybersecurity analyst with 4 years' experience in network monitoring, threat detection, and incident response. Skilled in Wireshark, Splunk, and SIEM tools.",6,0.8,80,"Good fit (Score: 80%, Similarity: 0.80). Candidate has strong cybersecurity audit experience, which has some overlap, but less direct hands-on experience with network monitoring, threat detection, and SIEM tools for operational roles. Recommendation: Schedule an interview to assess technical depth and interest in operational security.",,,,,,
"Content Strategist with 8 years' experience in developing content calendars, editorial guidelines, and managing content teams.","Digital Marketing Manager with 9 years' experience in SEM, SEO, content strategy, and team leadership. Managed multi-million dollar ad budgets.",8,0.87,87,"Strong fit (Score: 87%, Similarity: 0.87). Candidate has strong content strategy and leadership, directly aligning. Minor concern is less emphasis on SEM/SEO metrics and direct budget management if the role is heavily performance-based. Recommendation: Proceed to final interview, probing on analytical skills and campaign performance.",,,,,,
Biotechnology Sales Representative with 5 years' experience selling lab equipment and reagents to research institutions.,"Biotech researcher with 4 years of wet lab experience in CRISPR, gene editing, and PCR techniques. Publication experience preferred.",5,0.6,60,"Low fit (Score: 60%, Similarity: 0.60). Candidate's experience is in sales, not hands-on research. Key gaps include laboratory techniques and publication experience. Recommendation: Decline due to fundamental skill set and domain mismatch.",,,,,,
"Legal Counsel with 12 years' experience in litigation, regulatory compliance, and corporate governance for a large firm.",Legal associate needed for reviewing contracts and compliance support. Must know corporate law. 1–3 years of experience.,12,0.85,85,"Strong fit (Score: 85%, Similarity: 0.85). Candidate is highly overqualified for a legal associate role but has extensive relevant experience. Recommendation: Consider for a more senior legal position; otherwise, decline due to overqualification and potential retention issues for junior role.",,,,,,
"Financial Accountant with 3 years' experience in preparing balance sheets, income statements, and managing payroll.","Product Manager with 5 years' experience in Agile methodologies, user story creation, and roadmap development. Skilled in Jira and Confluence.",3,0.62,62,"Low fit (Score: 62%, Similarity: 0.62). Candidate's skills are in accounting, entirely unrelated to product management. Key gaps include Agile, user stories, and product roadmap development. Recommendation: Decline due to severe domain and skill mismatch.",,,,,,
"Full-stack Developer with 1 year experience in HTML, CSS, JavaScript, and Node.js. Built small web applications.","Full-stack developer with 6 years’ experience in MERN stack, GraphQL APIs, and scalable architecture for web apps.",1,0.75,75,"Good fit (Score: 75%, Similarity: 0.75). Candidate has foundational full-stack skills but is significantly junior for a 6-year role and might lack experience with MERN specific tools, GraphQL, or scalable architecture. Recommendation: Consider for a junior or mid-level full-stack role; assess learning potential and foundational knowledge.",,,,,,
"Data Engineer with 10 years' experience in Big Data technologies (Hadoop, Spark, Hive) and cloud data warehousing (Snowflake).","ETL developer with 4 years of experience using SSIS, Informatica, and SQL for large-scale data warehouse pipelines.",10,0.88,88,"Strong fit (Score: 88%, Similarity: 0.88). Candidate is highly experienced in data engineering and data warehousing, easily covering ETL development. Overqualified in terms of specific tools but general domain is strong. Recommendation: Proceed to final interview; assess fit for a senior or lead role and interest in specific tools.",,,,,,
"Human Resources Generalist with 4 years' experience in recruitment, employee onboarding, and HRIS management (ADP).","HR executive role open for candidates experienced in hiring, onboarding, HRMS tools like SAP/Zoho. 2+ years preferred.",4,0.95,95,"Strong fit (Score: 95%, Similarity: 0.95). Candidate is an excellent match, meeting or exceeding experience and core HR responsibilities. Familiarity with ADP suggests quick adaptation to SAP/Zoho. Recommendation: Expedite interview process; explore strategic contributions and problem-solving.",,,,,,
